analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,tau,se,ci95_low,ci95_high,p_value,outcome_family,definition
comparison,runs_next_same_prv,0.05,hc1,none,0,0,2118,1394,724,0.3098995695839311,0.5966850828729282,0.28509887339634443,0.0517143029210558,0.18373883967107507,0.3864589071216138,3.5284883681541146e-08,runs,person_same_prv
comparison,runs_next_same_prv,0.075,hc1,none,0,0,3785,2761,1024,0.28902571532053606,0.5908203125,0.27665363012963656,0.04133213402809475,0.19564264743457085,0.3576646128247023,2.1800339311539574e-11,runs,person_same_prv
comparison,runs_next_same_prv,0.1,hc1,none,0,0,5369,4070,1299,0.2793611793611794,0.590454195535027,0.2759948763447498,0.035255339562010615,0.20689441080320897,0.3450953418862906,4.884981308350689e-15,runs,person_same_prv
comparison,runs_next_string_any_prv,0.025,hc1,none,0,0,916,544,372,0.3492647058823529,0.6129032258064516,0.3257907567178183,0.07334114343595616,0.18204211558334427,0.4695393978522924,8.907348720610386e-06,runs,string_any_prv
comparison,runs_next_string_any_prv,0.05,hc1,none,0,0,2118,1394,724,0.33428981348637016,0.6174033149171271,0.2691050780280386,0.05190355453110831,0.16737411114706635,0.3708360449090109,2.1634677582760276e-07,runs,string_any_prv
comparison,runs_next_string_any_prv,0.075,hc1,none,0,0,3785,2761,1024,0.3147410358565737,0.609375,0.27089229395737346,0.041398588033713456,0.1897510614112951,0.3520335265034518,6.008926689560212e-11,runs,string_any_prv
comparison,runs_next_string_any_prv,0.1,hc1,none,0,0,5369,4070,1299,0.30933660933660934,0.6089299461123941,0.2768182837917814,0.03528524227455395,0.2076592089336557,0.34597735864990714,4.218847493575595e-15,runs,string_any_prv
comparison,runs_next_string_same_prv,0.025,hc1,none,0,0,916,544,372,0.3272058823529412,0.5994623655913979,0.34853349100398096,0.07273587920305302,0.20597116776599703,0.4910958142419649,1.6531763367133578e-06,runs,string_same_prv
comparison,runs_next_string_same_prv,0.05,hc1,none,0,0,2118,1394,724,0.3098995695839311,0.5953038674033149,0.2832825771741816,0.05172496591991555,0.1819016439711471,0.3846635103772161,4.3330935506347146e-08,runs,string_same_prv
comparison,runs_next_string_same_prv,0.075,hc1,none,0,0,3785,2761,1024,0.28866352770735243,0.58984375,0.27402000447532954,0.041349132476008604,0.19297570482235266,0.3550643041283064,3.4261704584537256e-11,runs,string_same_prv
comparison,runs_next_string_same_prv,0.1,hc1,none,0,0,5369,4070,1299,0.2791154791154791,0.5896843725943033,0.2737138081073101,0.03527301812388714,0.2045786925844913,0.3428489236301289,8.43769498715119e-15,runs,string_same_prv
comparison,wins_next_any_prv,0.025,hc1,none,0,0,916,544,372,0.0900735294117647,0.3709677419354839,0.18097903085048284,0.06698504102855207,0.04968835043452077,0.31226971126644487,0.0068968802912512395,wins,person_any_prv
comparison,wins_next_any_prv,0.05,hc1,none,0,0,2118,1394,724,0.058823529411764705,0.4171270718232044,0.18873852919082884,0.04652560036765414,0.09754835247022674,0.27992870591143093,4.977952382967388e-05,wins,person_any_prv
comparison,wins_next_any_prv,0.075,hc1,none,0,0,3785,2761,1024,0.0373053241579138,0.4443359375,0.21101947939572296,0.03683897851110418,0.13881508151395877,0.28322387727748716,1.0152714891020764e-08,wins,person_any_prv
comparison,wins_next_any_prv,0.1,hc1,none,0,0,5369,4070,1299,0.02800982800982801,0.45958429561200925,0.24499293982631648,0.031341868164345324,0.18356287822419964,0.3064230014284333,5.329070518200751e-15,wins,person_any_prv
comparison,wins_next_same_prv,0.025,hc1,none,0,0,916,544,372,0.08639705882352941,0.3602150537634409,0.18342710091868292,0.06555156831211202,0.054946027026943345,0.3119081748104225,0.005138657698430471,wins,person_same_prv
comparison,wins_next_same_prv,0.05,hc1,none,0,0,2118,1394,724,0.05595408895265423,0.40193370165745856,0.18558635925104103,0.045800108221923416,0.09581814713607113,0.27535457136601094,5.076118785196648e-05,wins,person_same_prv
comparison,wins_next_same_prv,0.075,hc1,none,0,0,3785,2761,1024,0.03513219847881202,0.4296875,0.2028398002029761,0.036386617164883006,0.1315220305598054,0.2741575698461468,2.4813983090510305e-08,wins,person_same_prv
comparison,wins_next_same_prv,0.1,hc1,none,0,0,5369,4070,1299,0.026535626535626536,0.4449576597382602,0.23517305690548745,0.031004117973805933,0.17440498567682783,0.2959411281341471,3.3084646133829665e-14,wins,person_same_prv
comparison,wins_next_string_any_prv,0.025,hc1,none,0,0,916,544,372,0.0900735294117647,0.3682795698924731,0.18270910158035655,0.06696762292215865,0.05145256065292561,0.31396564250778747,0.006365783121182522,wins,string_any_prv
comparison,wins_next_string_any_prv,0.05,hc1,none,0,0,2118,1394,724,0.058823529411764705,0.4157458563535912,0.186922232968666,0.04651983411015979,0.09574335811275282,0.2781011078245792,5.866455066216858e-05,wins,string_any_prv
comparison,wins_next_string_any_prv,0.075,hc1,none,0,0,3785,2761,1024,0.0373053241579138,0.443359375,0.2086774286091635,0.03682394070638906,0.13650250482464094,0.28085235239368606,1.4540785242544985e-08,wins,string_any_prv
comparison,wins_next_string_any_prv,0.1,hc1,none,0,0,5369,4070,1299,0.02800982800982801,0.4588144726712856,0.2427128614855491,0.031323494505221955,0.18131881225531407,0.3041069107157841,9.325873406851315e-15,wins,string_any_prv
comparison,wins_next_string_same_prv,0.025,hc1,none,0,0,916,544,372,0.08639705882352941,0.3575268817204301,0.18515717164855666,0.06553328211538952,0.056711938702393216,0.3136024045947201,0.00472228929962526,wins,string_same_prv
comparison,wins_next_string_same_prv,0.05,hc1,none,0,0,2118,1394,724,0.05595408895265423,0.4005524861878453,0.1837700630288782,0.04579317423446398,0.09401544152932878,0.2735246845284276,5.994051347646412e-05,wins,string_same_prv
comparison,wins_next_string_same_prv,0.075,hc1,none,0,0,3785,2761,1024,0.03513219847881202,0.4287109375,0.20049774941641665,0.03636937335407932,0.1292137776424212,0.2717817211904121,3.531326164818438e-08,wins,string_same_prv
comparison,wins_next_string_same_prv,0.1,hc1,none,0,0,5369,4070,1299,0.026535626535626536,0.44418783679753654,0.23289297856472005,0.030983257150490245,0.17216579454975917,0.29362016257968093,5.617728504603292e-14,wins,string_same_prv
