bin_idx,bandwidth,bin_left,bin_right,bin_center,bin_width,side,count,share,density,plot_bin,bin_in_side,count_ratio_near0,count_ratio_near0_add05,log_count_ratio_near0_add05,formal_test_feasible,log_density_jump,log_density_jump_se,log_density_jump_p_value,implied_density_ratio_at_cutoff
1,0.1,-0.09333333333333334,-0.08666666666666667,-0.09,0.006666666666666667,left,511,0.08461665838715018,12.692498758072526,-14,1,1.0256410256410255,1.025531914893617,0.02521141934649607,1,-0.08242884162499386,0.16171510841972397,0.6102501671932266,0.9208769636337357
2,0.1,-0.08666666666666667,-0.08,-0.08333333333333334,0.006666666666666667,left,327,0.05414803775459513,8.122205663189268,-13,2,1.0256410256410255,1.025531914893617,0.02521141934649607,1,-0.08242884162499386,0.16171510841972397,0.6102501671932266,0.9208769636337357
3,0.1,-0.08,-0.07333333333333333,-0.07666666666666666,0.006666666666666667,left,385,0.06375227686703097,9.562841530054644,-12,3,1.0256410256410255,1.025531914893617,0.02521141934649607,1,-0.08242884162499386,0.16171510841972397,0.6102501671932266,0.9208769636337357
4,0.1,-0.07333333333333333,-0.06666666666666668,-0.07,0.006666666666666667,left,378,0.06259314456035768,9.38897168405365,-11,4,1.0256410256410255,1.025531914893617,0.02521141934649607,1,-0.08242884162499386,0.16171510841972397,0.6102501671932266,0.9208769636337357
5,0.1,-0.06666666666666668,-0.060000000000000005,-0.06333333333333334,0.006666666666666667,left,430,0.07120384169564498,10.680576254346745,-10,5,1.0256410256410255,1.025531914893617,0.02521141934649607,1,-0.08242884162499386,0.16171510841972397,0.6102501671932266,0.9208769636337357
6,0.1,-0.060000000000000005,-0.05333333333333334,-0.05666666666666667,0.006666666666666667,left,437,0.07236297400231827,10.854446100347738,-9,6,1.0256410256410255,1.025531914893617,0.02521141934649607,1,-0.08242884162499386,0.16171510841972397,0.6102501671932266,0.9208769636337357
7,0.1,-0.05333333333333334,-0.04666666666666667,-0.05,0.006666666666666667,left,362,0.05994369928796158,8.991554893194236,-8,7,1.0256410256410255,1.025531914893617,0.02521141934649607,1,-0.08242884162499386,0.16171510841972397,0.6102501671932266,0.9208769636337357
8,0.1,-0.04666666666666667,-0.04,-0.043333333333333335,0.006666666666666667,left,341,0.056466302367941715,8.469945355191255,-7,8,1.0256410256410255,1.025531914893617,0.02521141934649607,1,-0.08242884162499386,0.16171510841972397,0.6102501671932266,0.9208769636337357
9,0.1,-0.04,-0.03333333333333334,-0.03666666666666667,0.006666666666666667,left,249,0.04123199205166418,6.184798807749627,-6,9,1.0256410256410255,1.025531914893617,0.02521141934649607,1,-0.08242884162499386,0.16171510841972397,0.6102501671932266,0.9208769636337357
10,0.1,-0.03333333333333334,-0.026666666666666672,-0.030000000000000006,0.006666666666666667,left,146,0.024176188110614342,3.6264282165921506,-5,10,1.0256410256410255,1.025531914893617,0.02521141934649607,1,-0.08242884162499386,0.16171510841972397,0.6102501671932266,0.9208769636337357
11,0.1,-0.026666666666666672,-0.020000000000000004,-0.023333333333333338,0.006666666666666667,left,274,0.045371750289783075,6.805762543467461,-4,11,1.0256410256410255,1.025531914893617,0.02521141934649607,1,-0.08242884162499386,0.16171510841972397,0.6102501671932266,0.9208769636337357
