analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,tau,se,ci95_low,ci95_high,p_value,donut_radius
donut_hole,wins_next,0.025,hc1,none,0,0,848,510,338,0.08431372549019608,0.35798816568047337,0.11960677441524145,0.07949455596528458,-0.03620255527671634,0.27541610410719924,0.13242932317814438,0.0025
donut_hole,wins_next,0.025,hc1,none,0,0,761,463,298,0.08207343412526998,0.36577181208053694,0.04435033205000291,0.10833910489268875,-0.16799431353966704,0.25669497763967286,0.6822711816843352,0.005
donut_hole,wins_next,0.05,hc1,none,0,0,2091,1380,711,0.05579710144927536,0.39943741209563993,0.1542433136683599,0.04718137575331167,0.06176781719186902,0.24671881014485075,0.0010786852087616428,0.001
donut_hole,wins_next,0.05,hc1,none,0,0,2050,1360,690,0.054411764705882354,0.4028985507246377,0.16151636080934875,0.050275344450098056,0.06297668568715656,0.2600560359315409,0.0013152305083941052,0.0025
donut_hole,wins_next,0.05,hc1,none,0,0,1963,1313,650,0.05255140898705255,0.40923076923076923,0.15711930299066934,0.05794435313987792,0.043548370836508615,0.27069023514483004,0.006696842129618963,0.005
donut_hole,wins_next,0.075,hc1,none,0,0,3758,2747,1011,0.03494721514379323,0.42828882294757664,0.18382065668082395,0.03701619946179685,0.11126890573570213,0.25637240762594576,6.836498835927074e-07,0.001
donut_hole,wins_next,0.075,hc1,none,0,0,3717,2727,990,0.034103410341034104,0.4313131313131313,0.19072580163925063,0.03861345425678595,0.11504343129595015,0.26640817198255107,7.837887017192458e-07,0.0025
donut_hole,wins_next,0.075,hc1,none,0,0,3630,2680,950,0.03283582089552239,0.4368421052631579,0.19566771975277308,0.042208796012270386,0.11293847956872313,0.278396959936823,3.5571511660670296e-06,0.005
donut_hole,wins_next,0.1,hc1,none,0,0,5342,4056,1286,0.02638067061143984,0.4440124416796267,0.22264488376356986,0.03139773258349874,0.16110532789991233,0.2841844396272274,1.3302692281058626e-12,0.001
donut_hole,wins_next,0.1,hc1,none,0,0,5301,4036,1265,0.02576808721506442,0.44664031620553357,0.23021197006974067,0.03241698969487634,0.16667467026778304,0.2937492698716983,1.233457780358549e-12,0.0025
donut_hole,wins_next,0.1,hc1,none,0,0,5214,3989,1225,0.024818250188017046,0.4514285714285714,0.2398580776040579,0.034620312062387,0.17200226596177937,0.3077138892463364,4.260813923906426e-12,0.005
